#
#
# US Geological Survey, Water Resources Data
# retrieved: 2015-01-08 14:48:14 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04108801 MACATAWA RIVER NEAR ZEELAND, MI
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
# 5s	15s	5s	3n	4s	2s	12n
USGS	04108801	00060	2	1970	11	94.3
USGS	04108801	00060	2	1970	12	79.6
USGS	04108801	00060	2	1971	1	33.3
USGS	04108801	00060	2	1971	2	380.9
USGS	04108801	00060	2	1971	3	159.2
USGS	04108801	00060	2	1971	4	47.7
USGS	04108801	00060	2	1971	5	10.5
USGS	04108801	00060	2	1971	6	4.97
USGS	04108801	00060	2	1971	7	2.91
USGS	04108801	00060	2	1971	8	2.05
USGS	04108801	00060	2	1971	9	6.71
USGS	04108801	00060	2	1971	10	4.56
USGS	04108801	00060	2	1971	11	4.20
USGS	04108801	00060	2	1971	12	125.1
USGS	04108801	00060	2	1972	1	61.3
USGS	04108801	00060	2	1972	2	38.1
USGS	04108801	00060	2	1972	3	179.7
USGS	04108801	00060	2	1972	4	132.6
USGS	04108801	00060	2	1972	5	26.8
USGS	04108801	00060	2	1972	6	48.9
USGS	04108801	00060	2	1972	7	83.5
USGS	04108801	00060	2	1972	8	75.5
USGS	04108801	00060	2	1972	9	70.3
USGS	04108801	00060	2	1972	10	110.7
USGS	04108801	00060	2	1972	11	108.8
USGS	04108801	00060	2	1972	12	177.1
USGS	04108801	00060	2	1973	1	165.8
USGS	04108801	00060	2	1973	2	35.6
USGS	04108801	00060	2	1973	3	143.9
USGS	04108801	00060	2	1973	4	117.5
USGS	04108801	00060	2	1973	5	137.5
USGS	04108801	00060	2	1973	6	29.3
USGS	04108801	00060	2	1973	7	11.9
USGS	04108801	00060	2	1973	8	6.28
USGS	04108801	00060	2	1973	9	6.99
USGS	04108801	00060	2	1973	10	17.7
USGS	04108801	00060	2	1973	11	100.9
USGS	04108801	00060	2	1973	12	169.6
USGS	04108801	00060	2	1974	1	277.8
USGS	04108801	00060	2	1974	2	121.2
USGS	04108801	00060	2	1974	3	228.5
USGS	04108801	00060	2	1974	4	94.6
USGS	04108801	00060	2	1974	5	104.5
USGS	04108801	00060	2	1974	6	37.1
USGS	04108801	00060	2	1974	7	6.09
USGS	04108801	00060	2	1974	8	3.61
USGS	04108801	00060	2	1974	9	3.32
USGS	04108801	00060	2	1974	10	7.78
USGS	04108801	00060	2	1974	11	35.1
USGS	04108801	00060	2	1974	12	69.3
USGS	04108801	00060	2	1975	1	174.4
USGS	04108801	00060	2	1975	2	123.9
USGS	04108801	00060	2	1975	3	143.3
USGS	04108801	00060	2	1975	4	144.7
USGS	04108801	00060	2	1975	5	36.6
USGS	04108801	00060	2	1975	6	44.0
USGS	04108801	00060	2	1975	7	5.84
USGS	04108801	00060	2	1975	8	36.7
USGS	04108801	00060	2	1975	9	43.6
USGS	04108801	00060	2	1975	10	6.76
USGS	04108801	00060	2	1975	11	61.3
USGS	04108801	00060	2	1975	12	218.1
USGS	04108801	00060	2	1976	1	44.1
USGS	04108801	00060	2	1976	2	252.8
USGS	04108801	00060	2	1976	3	213.5
USGS	04108801	00060	2	1976	4	95.7
USGS	04108801	00060	2	1976	5	153.1
USGS	04108801	00060	2	1976	6	14.6
USGS	04108801	00060	2	1976	7	10.5
USGS	04108801	00060	2	1976	8	3.29
USGS	04108801	00060	2	1976	9	2.75
USGS	04108801	00060	2	1976	10	2.80
USGS	04108801	00060	2	1976	11	2.98
USGS	04108801	00060	2	1976	12	3.99
USGS	04108801	00060	2	1977	1	2.89
USGS	04108801	00060	2	1977	2	6.88
USGS	04108801	00060	2	1977	3	197.0
USGS	04108801	00060	2	1977	4	47.6
USGS	04108801	00060	2	1977	5	9.10
USGS	04108801	00060	2	1977	6	6.88
USGS	04108801	00060	2	1977	7	3.22
USGS	04108801	00060	2	1977	8	3.18
USGS	04108801	00060	2	1977	9	5.84
USGS	04108801	00060	2	1977	10	12.6
USGS	04108801	00060	2	1977	11	22.1
USGS	04108801	00060	2	1977	12	133.0
USGS	04108801	00060	2	1978	1	28.8
USGS	04108801	00060	2	1978	2	32.1
USGS	04108801	00060	2	1978	3	310.7
USGS	04108801	00060	2	1978	4	131.2
USGS	04108801	00060	2	1978	5	58.5
USGS	04108801	00060	2	1978	6	162.1
USGS	04108801	00060	2	1978	7	39.5
USGS	04108801	00060	2	1978	8	26.0
USGS	04108801	00060	2	1978	9	189.6
USGS	04108801	00060	2	1978	10	78.8
USGS	04108801	00060	2	1978	11	40.4
USGS	04108801	00060	2	1978	12	77.1
USGS	04108801	00060	2	1979	1	48.4
USGS	04108801	00060	2	1979	2	33.6
USGS	04108801	00060	2	1979	3	499.2
USGS	04108801	00060	2	1979	4	96.2
USGS	04108801	00060	2	1979	5	39.3
USGS	04108801	00060	2	1979	6	21.6
USGS	04108801	00060	2	1979	7	9.44
USGS	04108801	00060	2	1979	8	60.0
USGS	04108801	00060	2	1979	9	6.76
USGS	04108801	00060	2	1979	10	8.68
USGS	04108801	00060	2	1979	11	72.8
USGS	04108801	00060	2	1979	12	185.5
USGS	04108801	00060	2	1980	1	91.7
USGS	04108801	00060	2	1980	2	82.1
USGS	04108801	00060	2	1980	3	68.7
USGS	04108801	00060	2	1980	4	143.8
USGS	04108801	00060	2	1980	5	23.2
USGS	04108801	00060	2	1980	6	217.2
USGS	04108801	00060	2	1980	7	30.3
USGS	04108801	00060	2	1980	8	13.5
USGS	04108801	00060	2	1980	9	27.1
USGS	04108801	00060	2	1980	10	26.9
USGS	04108801	00060	2	1980	11	15.6
USGS	04108801	00060	2	1980	12	114.4
USGS	04108801	00060	2	1981	1	15.7
USGS	04108801	00060	2	1981	2	292.9
USGS	04108801	00060	2	1981	3	37.6
USGS	04108801	00060	2	1981	4	175.9
USGS	04108801	00060	2	1981	5	288.2
USGS	04108801	00060	2	1981	6	56.9
USGS	04108801	00060	2	1981	7	10.4
USGS	04108801	00060	2	1981	8	4.63
USGS	04108801	00060	2	1981	9	8.63
USGS	04108801	00060	2	1981	10	36.3
USGS	04108801	00060	2	1981	11	54.8
USGS	04108801	00060	2	1981	12	32.6
USGS	04108801	00060	2	1982	1	29.5
USGS	04108801	00060	2	1982	2	36.8
USGS	04108801	00060	2	1982	3	354.5
USGS	04108801	00060	2	1982	4	132.1
USGS	04108801	00060	2	1982	5	19.6
USGS	04108801	00060	2	1982	6	11.8
USGS	04108801	00060	2	1982	7	185.0
USGS	04108801	00060	2	1982	8	31.1
USGS	04108801	00060	2	1982	9	7.50
USGS	04108801	00060	2	1982	10	6.00
USGS	04108801	00060	2	1982	11	86.0
USGS	04108801	00060	2	1982	12	328.1
USGS	04108801	00060	2	1983	1	37.9
USGS	04108801	00060	2	1983	2	88.7
USGS	04108801	00060	2	1983	3	112.3
USGS	04108801	00060	2	1983	4	138.0
USGS	04108801	00060	2	1983	5	67.9
