#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:55 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04114500     00060          LOOKING GLASS RIVER AT HINMAN RD NEAR EAGLE, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04114500	00060	1		1953	9	24.3	30
USGS	04114500	00060	1		1953	10	28.0	31
USGS	04114500	00060	1		1953	11	33.9	30
USGS	04114500	00060	1		1953	12	41.1	31
USGS	04114500	00060	1		1954	1	38.7	31
USGS	04114500	00060	1		1954	2	263.1	28
USGS	04114500	00060	1		1954	3	352.1	31
USGS	04114500	00060	1		1954	4	309.2	30
USGS	04114500	00060	1		1954	5	135.9	31
USGS	04114500	00060	1		1954	6	128.1	30
USGS	04114500	00060	1		1954	7	50.4	31
USGS	04114500	00060	1		1954	8	27.5	31
USGS	04114500	00060	1		1954	9	25.2	30
USGS	04114500	00060	1		1954	10	96.5	31
USGS	04114500	00060	1		1954	11	96.6	30
USGS	04114500	00060	1		1954	12	110.1	31
USGS	04114500	00060	1		1955	1	210.6	31
USGS	04114500	00060	1		1955	2	216.8	28
USGS	04114500	00060	1		1955	3	460.2	31
USGS	04114500	00060	1		1955	4	189.4	30
USGS	04114500	00060	1		1955	5	83.1	31
USGS	04114500	00060	1		1955	6	71.8	30
USGS	04114500	00060	1		1955	7	43.8	31
USGS	04114500	00060	1		1955	8	31.6	31
USGS	04114500	00060	1		1955	9	25.8	30
USGS	04114500	00060	1		1955	10	37.1	31
USGS	04114500	00060	1		1955	11	81.2	30
USGS	04114500	00060	1		1955	12	79.6	31
USGS	04114500	00060	1		1956	1	41.6	31
USGS	04114500	00060	1		1956	2	66.3	29
USGS	04114500	00060	1		1956	3	613.1	31
USGS	04114500	00060	1		1956	4	321.0	30
USGS	04114500	00060	1		1956	5	909.9	31
USGS	04114500	00060	1		1956	6	117.4	30
USGS	04114500	00060	1		1956	7	57.4	31
USGS	04114500	00060	1		1956	8	96.7	31
USGS	04114500	00060	1		1956	9	40.8	30
USGS	04114500	00060	1		1956	10	38.7	31
USGS	04114500	00060	1		1956	11	48.2	30
USGS	04114500	00060	1		1956	12	69.1	31
USGS	04114500	00060	1		1957	1	72.1	31
USGS	04114500	00060	1		1957	2	132.1	28
