#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-21 09:04:52 EST	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04119000     00060          GRAND RIVER AT GRAND RAPIDS, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04119000	00060	1		1935	6	3442	30
USGS	04119000	00060	1		1935	7	2455	31
USGS	04119000	00060	1		1935	8	1719	31
USGS	04119000	00060	1		1935	9	1097	30
USGS	04119000	00060	1		1935	10	1237	31
USGS	04119000	00060	1		1935	11	2608	30
USGS	04119000	00060	1		1935	12	2160	31
USGS	04119000	00060	1		1936	1	1921	31
USGS	04119000	00060	1		1936	2	2140	29
USGS	04119000	00060	1		1936	3	9040	31
USGS	04119000	00060	1		1936	4	4051	30
USGS	04119000	00060	1		1936	5	2542	31
USGS	04119000	00060	1		1936	6	1173	30
USGS	04119000	00060	1		1936	7	781.4	31
USGS	04119000	00060	1		1936	8	664.9	31
USGS	04119000	00060	1		1936	9	1993	30
USGS	04119000	00060	1		1936	10	2138	31
USGS	04119000	00060	1		1936	11	1778	30
USGS	04119000	00060	1		1936	12	1848	31
USGS	04119000	00060	1		1937	1	3869	31
USGS	04119000	00060	1		1937	2	3634	28
USGS	04119000	00060	1		1937	3	3243	31
USGS	04119000	00060	1		1937	4	8623	30
USGS	04119000	00060	1		1937	5	5461	31
USGS	04119000	00060	1		1937	6	4407	30
USGS	04119000	00060	1		1937	7	3238	31
USGS	04119000	00060	1		1937	8	1381	31
USGS	04119000	00060	1		1937	9	1060	30
USGS	04119000	00060	1		1937	10	1395	31
USGS	04119000	00060	1		1937	11	1444	30
USGS	04119000	00060	1		1937	12	1598	31
USGS	04119000	00060	1		1938	1	2106	31
USGS	04119000	00060	1		1938	2	14720	28
USGS	04119000	00060	1		1938	3	6788	31
USGS	04119000	00060	1		1938	4	5217	30
USGS	04119000	00060	1		1938	5	3263	31
USGS	04119000	00060	1		1938	6	3068	30
USGS	04119000	00060	1		1938	7	1611	31
USGS	04119000	00060	1		1938	8	2444	31
USGS	04119000	00060	1		1938	9	1555	30
USGS	04119000	00060	1		1938	10	1216	31
USGS	04119000	00060	1		1938	11	1396	30
USGS	04119000	00060	1		1938	12	1588	31
USGS	04119000	00060	1		1939	1	1918	31
USGS	04119000	00060	1		1939	2	4800	28
USGS	04119000	00060	1		1939	3	6497	31
USGS	04119000	00060	1		1939	4	7915	30
USGS	04119000	00060	1		1939	5	2648	31
USGS	04119000	00060	1		1939	6	2717	30
USGS	04119000	00060	1		1939	7	1234	31
USGS	04119000	00060	1		1939	8	1644	31
USGS	04119000	00060	1		1939	9	1239	30
USGS	04119000	00060	1		1939	10	1276	31
USGS	04119000	00060	1		1939	11	1379	30
USGS	04119000	00060	1		1939	12	1386	31
USGS	04119000	00060	1		1940	1	1488	31
USGS	04119000	00060	1		1940	2	1374	29
USGS	04119000	00060	1		1940	3	3053	31
USGS	04119000	00060	1		1940	4	5243	30
USGS	04119000	00060	1		1940	5	2285	31
USGS	04119000	00060	1		1940	6	2935	30
USGS	04119000	00060	1		1940	7	1419	31
USGS	04119000	00060	1		1940	8	1565	31
USGS	04119000	00060	1		1940	9	2764	30
USGS	04119000	00060	1		1940	10	1788	31
USGS	04119000	00060	1		1940	11	2133	30
USGS	04119000	00060	1		1940	12	4501	31
USGS	04119000	00060	1		1941	1	5526	31
USGS	04119000	00060	1		1941	2	3210	28
USGS	04119000	00060	1		1941	3	5934	31
USGS	04119000	00060	1		1941	4	4596	30
USGS	04119000	00060	1		1941	5	2307	31
USGS	04119000	00060	1		1941	6	1671	30
USGS	04119000	00060	1		1941	7	1018	31
USGS	04119000	00060	1		1941	8	958.1	31
USGS	04119000	00060	1		1941	9	1067	30
USGS	04119000	00060	1		1941	10	2335	31
USGS	04119000	00060	1		1941	11	4552	30
USGS	04119000	00060	1		1941	12	2839	31
USGS	04119000	00060	1		1942	1	2681	31
USGS	04119000	00060	1		1942	2	2944	28
USGS	04119000	00060	1		1942	3	13550	31
USGS	04119000	00060	1		1942	4	4584	30
USGS	04119000	00060	1		1942	5	3453	31
USGS	04119000	00060	1		1942	6	4396	30
USGS	04119000	00060	1		1942	7	2021	31
USGS	04119000	00060	1		1942	8	1991	31
USGS	04119000	00060	1		1942	9	2583	30
USGS	04119000	00060	1		1942	10	2482	31
USGS	04119000	00060	1		1942	11	4774	30
USGS	04119000	00060	1		1942	12	4685	31
